title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Twelve Monkeys,129,Mystery;Sci-Fi,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt, 8.1 ,"428,664"
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn, 8.1 ,"548,053"
The Avengers,143,Action;Adventure,Joss Whedon,Joss Whedon;Zak Penn,Robert Downey Jr.;Chris Evans;Scarlett Johansson, 8.1 ,"896,558"
Mou gaan dou,101,Crime;Mystery,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Chiu Wai Leung;Anthony Chau-Sang Wong, 8.1 ,"85,050"
Groundhog Day,101,Comedy;Fantasy,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott, 8.1 ,"398,287"
Jaws,124,Adventure;Drama,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss, 8.1 ,"377,600"
"Monsters, Inc.",92,Animation;Adventure,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs, 8.1 ,"524,498"
De slag om Algiers,121,Drama;History,Gillo Pontecorvo,Gillo Pontecorvo;Franco Solinas,Brahim Hadjadj;Jean Martin;Yacef Saadi, 8.2 ,"33,643"
Salinui chueok,130,Crime;Drama,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim, 8.1 ,"57,765"
The Truman Show,103,Drama,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney, 8.1 ,"606,104"
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint, 8.1 ,"486,849"
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve;Pernilla Allwin;Kristina Adolphson, 8.1 ,"39,412"
Barry Lyndon,184,Adventure;Drama,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee, 8.1 ,"92,926"
Kumonosu-jô,110,Drama,Akira Kurosawa,Hideo Oguni;Shinobu Hashimoto,Toshirô Mifune;Minoru Chiaki;Isuzu Yamada, 8.2 ,"27,623"
Rocky,119,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young, 8.1 ,"331,672"
Dog Day Afternoon,125,Crime;Drama,Sidney Lumet,Frank Pierson;P.F. Kluge,Al Pacino;John Cazale;Penelope Allen, 8.1 ,"169,580"
Guardians of the Galaxy,121,Action;Adventure,James Gunn,James Gunn;Nicole Perlman,Chris Pratt;Vin Diesel;Bradley Cooper, 8.1 ,"569,739"
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui, 8.1 ,"94,132"
Yip Man,106,Action;Biography,Wilson Yip,Edmond Wong;Chan Tai-Li,Donnie Yen;Simon Yam;Siu-Wong Fan, 8.1 ,"145,112"
Klokslag 12,85,Drama;Western,Fred Zinnemann,Carl Foreman;John W. Cunningham,Gary Cooper;Grace Kelly;Thomas Mitchell, 8.1 ,"74,193"
The King's Speech,118,Biography;Drama,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter, 8.1 ,"454,168"
The Imitation Game,114,Biography;Drama,Morten Tyldum,Graham Moore;Andrew Hodges,Benedict Cumberbatch;Keira Knightley;Matthew Goode, 8.1 ,"366,654"
Per un pugno di dollari,99,Action;Drama,Sergio Leone,Adriano Bolzoni;Víctor Andrés Catena,Clint Eastwood;Gian Maria Volonté;Marianne Koch, 8.1 ,"130,642"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom, 8.1 ,"743,941"
Notorious,101,Drama;Film-Noir,Alfred Hitchcock,Ben Hecht,Cary Grant;Ingrid Bergman;Claude Rains, 8.1 ,"68,775"
Prisoners,153,Crime;Drama,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis, 8.1 ,"332,912"
Tenkû no shiro Rapyuta,124,Animation;Adventure,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman, 8.1 ,"88,089"
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer, 8.1 ,"292,634"
Roman Holiday,118,Comedy;Romance,William Wyler,Ian McLellan Hunter;John Dighton,Gregory Peck;Audrey Hepburn;Eddie Albert, 8.1 ,"90,945"
Wie is bang voor Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor;Richard Burton;George Segal, 8.1 ,"51,944"
Papillon,151,Biography;Crime,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.,Steve McQueen;Dustin Hoffman;Victor Jory, 8.1 ,"91,484"
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim;Yeong-su Oh;Jong-ho Kim, 8.1 ,"57,698"
Belle en het Beest,84,Animation;Family,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers,Paige O'Hara;Robby Benson;Jesse Corti, 8.0 ,"279,192"
The Night of the Hunter,92,Crime;Drama,Charles Laughton;Robert Mitchum,Davis Grubb;James Agee,Robert Mitchum;Shelley Winters;Lillian Gish, 8.1 ,"60,010"
Anatomy of a Murder,160,Crime;Drama,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara, 8.1 ,"42,648"
Before Sunset,80,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Vernon Dobtcheff, 8.1 ,"153,536"
La Strada,108,Drama,Federico Fellini,Federico Fellini;Tullio Pinelli,Anthony Quinn;Giulietta Masina;Richard Basehart, 8.1 ,"43,910"
The Graduate,106,Comedy;Drama,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross, 8.0 ,"200,117"
La dolce vita,174,Comedy;Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anita Ekberg;Anouk Aimée, 8.1 ,"45,298"
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie, 8.1 ,"59,830"
Le samouraï,105,Crime;Drama,Jean-Pierre Melville,Jean-Pierre Melville;Georges Pellegrin,Alain Delon;Nathalie Delon;François Périer, 8.1 ,"29,421"
Trois couleurs: Rouge,99,Drama;Mystery,Krzysztof Kieslowski,Krzysztof Kieslowski;Krzysztof Piesiewicz,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder, 8.1 ,"59,406"
Fa yeung nin wa,98,Drama;Romance,Kar Wai Wong,Kar Wai Wong,Tony Chiu Wai Leung;Maggie Cheung;Ping Lam Siu, 8.1 ,"68,732"
Solaris,167,Drama;Mystery,Andrei Tarkovsky,Stanislaw Lem;Fridrikh Gorenshteyn,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet, 8.1 ,"49,409"
The Killing,85,Crime;Film-Noir,Stanley Kubrick,Stanley Kubrick;Jim Thompson,Sterling Hayden;Coleen Gray;Vince Edwards, 8.1 ,"58,308"
Tramlijn Begeerte,122,Drama,Elia Kazan,Tennessee Williams;Oscar Saul,Vivien Leigh;Marlon Brando;Kim Hunter, 8.1 ,"73,567"
