title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Reservoir Dogs,99,Crime;Drama,Quentin Tarantino,Quentin Tarantino;Roger Avary,Harvey Keitel;Tim Roth;Michael Madsen, 8.4 ,"601,679"
Braveheart,178,Biography;Drama,Mel Gibson,Randall Wallace,Mel Gibson;Sophie Marceau;Patrick McGoohan, 8.4 ,"676,369"
Toy Story 3,103,Animation;Adventure,Lee Unkrich,John Lasseter;Andrew Stanton,Tom Hanks;Tim Allen;Joan Cusack, 8.4 ,"490,546"
A Clockwork Orange,136,Crime;Drama,Stanley Kubrick,Stanley Kubrick;Anthony Burgess,Malcolm McDowell;Patrick Magee;Michael Bates, 8.4 ,"508,807"
Requiem for a Dream,102,Drama,Darren Aronofsky,Hubert Selby Jr.;Hubert Selby Jr.,Ellen Burstyn;Jared Leto;Jennifer Connelly, 8.4 ,"528,222"
Taxi Driver,113,Crime;Drama,Martin Scorsese,Paul Schrader,Robert De Niro;Jodie Foster;Cybill Shepherd, 8.4 ,"461,191"
Double Indemnity,107,Crime;Drama,Billy Wilder,Billy Wilder;Raymond Chandler,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson, 8.4 ,"89,613"
To Kill a Mockingbird,129,Drama,Robert Mulligan,Harper Lee;Horton Foote,Gregory Peck;John Megna;Frank Overton, 8.4 ,"195,533"
Lawrence of Arabia,216,Adventure;Biography,David Lean,T.E. Lawrence;Robert Bolt,Peter O'Toole;Alec Guinness;Anthony Quinn, 8.4 ,"176,249"
Eternal Sunshine of the Spotless Mind,108,Drama;Romance,Michel Gondry,Charlie Kaufman;Michel Gondry,Jim Carrey;Kate Winslet;Tom Wilkinson, 8.4 ,"610,571"
Full Metal Jacket,116,Drama;War,Stanley Kubrick,Gustav Hasford;Stanley Kubrick,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio, 8.3 ,"441,398"
Amadeus,160,Biography;Drama,Milos Forman,Peter Shaffer;Peter Shaffer,F. Murray Abraham;Tom Hulce;Elizabeth Berridge, 8.3 ,"248,133"
The Sting,129,Comedy;Crime,George Roy Hill,David S. Ward,Paul Newman;Robert Redford;Robert Shaw, 8.3 ,"161,010"
Singin' in the Rain,103,Comedy;Musical,Stanley Donen;Gene Kelly,Adolph Green;Betty Comden,Gene Kelly;Donald O'Connor;Debbie Reynolds, 8.4 ,"137,324"
Ladri di biciclette,93,Drama,Vittorio De Sica,Cesare Zavattini;Luigi Bartolini,Lamberto Maggiorani;Enzo Staiola;Lianella Carell, 8.4 ,"85,258"
2001: A Space Odyssey,160,Mystery;Sci-Fi,Stanley Kubrick,Stanley Kubrick;Arthur C. Clarke,Keir Dullea;Gary Lockwood;William Sylvester, 8.3 ,"387,861"
Snatch.,104,Comedy;Crime,Guy Ritchie,Guy Ritchie,Jason Statham;Brad Pitt;Benicio Del Toro, 8.3 ,"554,559"
Monty Python and the Holy Grail,91,Adventure;Comedy,Terry Gilliam;Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Eric Idle, 8.3 ,"353,650"
The Kid,68,Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Edna Purviance;Jackie Coogan, 8.4 ,"58,918"
Toy Story,81,Animation;Adventure,John Lasseter,John Lasseter;Pete Docter,Tom Hanks;Tim Allen;Don Rickles, 8.3 ,"559,446"
Per qualche dollaro in più,132,Western,Sergio Leone,Sergio Leone;Fulvio Morsella,Clint Eastwood;Lee Van Cleef;Gian Maria Volonté, 8.3 ,"141,296"
Rashômon,88,Crime;Drama,Akira Kurosawa,Ryûnosuke Akutagawa;Akira Kurosawa,Toshirô Mifune;Machiko Kyô;Masayuki Mori, 8.3 ,"93,702"
L.A. Confidential,138,Crime;Drama,Curtis Hanson,James Ellroy;Brian Helgeland,Kevin Spacey;Russell Crowe;Guy Pearce, 8.3 ,"386,728"
Inglourious Basterds,153,Adventure;Drama,Quentin Tarantino;Eli Roth,Quentin Tarantino,Brad Pitt;Diane Kruger;Eli Roth, 8.3 ,"789,942"
All About Eve,138,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis;Anne Baxter;George Sanders, 8.4 ,"76,589"
The Apartment,125,Comedy;Drama,Billy Wilder,Billy Wilder;I.A.L. Diamond,Jack Lemmon;Shirley MacLaine;Fred MacMurray, 8.3 ,"99,495"
The Treasure of the Sierra Madre,126,Action;Adventure,John Huston,John Huston;B. Traven,Humphrey Bogart;Walter Huston;Tim Holt, 8.3 ,"73,135"
Indiana Jones and the Last Crusade,127,Action;Adventure,Steven Spielberg,Jeffrey Boam;George Lucas,Harrison Ford;Sean Connery;Alison Doody, 8.3 ,"470,239"
Jodaeiye Nader az Simin,123,Drama,Asghar Farhadi,Asghar Farhadi,Peyman Moaadi;Leila Hatami;Sareh Bayat, 8.4 ,"138,834"
Metropolis,153,Drama;Sci-Fi,Fritz Lang,Thea von Harbou;Thea von Harbou,Brigitte Helm;Alfred Abel;Gustav Fröhlich, 8.3 ,"102,298"
Yôjinbô,110,Drama,Akira Kurosawa,Akira Kurosawa;Akira Kurosawa,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai, 8.3 ,"67,725"
Scarface,170,Crime;Drama,Brian De Palma,Oliver Stone,Al Pacino;Michelle Pfeiffer;Steven Bauer, 8.3 ,"492,574"
Batman Begins,140,Action;Adventure,Christopher Nolan,Bob Kane;David S. Goyer,Christian Bale;Michael Caine;Ken Watanabe, 8.3 ,"884,993"
Some Like It Hot,120,Comedy,Billy Wilder,Billy Wilder;I.A.L. Diamond,Marilyn Monroe;Tony Curtis;Jack Lemmon, 8.3 ,"161,675"
The Third Man,104,Film-Noir;Mystery,Carol Reed,Graham Greene;Graham Greene,Orson Welles;Joseph Cotten;Alida Valli, 8.3 ,"105,089"
Unforgiven,131,Western,Clint Eastwood,David Webb Peoples,Clint Eastwood;Gene Hackman;Morgan Freeman, 8.3 ,"256,142"
3 Idiots,170,Comedy;Drama,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Madhavan;Mona Singh, 8.5 ,"177,720"
Up,96,Animation;Adventure,Pete Docter;Bob Peterson,Pete Docter;Bob Peterson,Edward Asner;Jordan Nagai;John Ratzenberger, 8.3 ,"593,513"
Raging Bull,129,Biography;Drama,Martin Scorsese,Jake LaMotta;Joseph Carter,Robert De Niro;Cathy Moriarty;Joe Pesci, 8.3 ,"217,353"
Der Untergang,156,Biography;Drama,Oliver Hirschbiegel,Bernd Eichinger;Joachim Fest,Bruno Ganz;Alexandra Maria Lara;Ulrich Matthes, 8.3 ,"230,438"
Jagten,115,Drama,Thomas Vinterberg,Tobias Lindholm;Thomas Vinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp, 8.3 ,"145,636"
Good Will Hunting,126,Drama,Gus Van Sant,Matt Damon;Ben Affleck,Robin Williams;Matt Damon;Ben Affleck, 8.3 ,"549,223"
The Great Escape,172,Adventure;Drama,John Sturges,Paul Brickhill;James Clavell,Steve McQueen;James Garner;Richard Attenborough, 8.3 ,"152,448"
Chinatown,130,Crime;Drama,Roman Polanski,Robert Towne,Jack Nicholson;Faye Dunaway;John Huston, 8.3 ,"199,387"
Die Hard,131,Action;Thriller,John McTiernan,Roderick Thorp;Jeb Stuart,Bruce Willis;Alan Rickman;Bonnie Bedelia, 8.3 ,"546,413"
Heat,170,Action;Crime,Michael Mann,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer, 8.3 ,"400,322"
On the Waterfront,108,Crime;Drama,Elia Kazan,Budd Schulberg;Budd Schulberg,Marlon Brando;Karl Malden;Lee J. Cobb, 8.3 ,"92,219"
Pan's Labyrinth,118,Drama;Fantasy,Guillermo del Toro,Guillermo del Toro,Ivana Baquero;Ariadna Gil;Sergi López, 8.2 ,"430,992"
Mr. Smith Goes to Washington,129,Drama,Frank Capra,Sidney Buchman;Lewis R. Foster,James Stewart;Jean Arthur;Claude Rains, 8.3 ,"71,613"
The Bridge on the River Kwai,161,Adventure;Drama,David Lean,Pierre Boulle;Carl Foreman,William Holden;Alec Guinness;Jack Hawkins, 8.2 ,"136,904"
Tonari no Totoro,86,Animation;Family,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi;Noriko Hidaka;Chika Sakamoto, 8.3 ,"150,448"
Ran,162,Action;Drama,Akira Kurosawa,Akira Kurosawa;Hideo Oguni,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu, 8.3 ,"71,391"
The Gold Rush,95,Adventure;Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin;Mack Swain;Tom Murray, 8.3 ,"61,179"
Ikiru,143,Drama,Akira Kurosawa,Akira Kurosawa;Shinobu Hashimoto,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori, 8.3 ,"38,124"
Det sjunde inseglet,96,Drama;Fantasy,Ingmar Bergman,Ingmar Bergman;Ingmar Bergman,Max von Sydow;Gunnar Björnstrand;Bengt Ekerot, 8.3 ,"102,399"
Blade Runner,117,Sci-Fi;Thriller,Ridley Scott,Hampton Fancher;David Webb Peoples,Harrison Ford;Rutger Hauer;Sean Young, 8.2 ,"427,790"
El secreto de sus ojos,129,Drama;Mystery,Juan José Campanella,Eduardo Sacheri;Juan José Campanella,Ricardo Darín;Soledad Villamil;Pablo Rago, 8.2 ,"115,010"
Smultronstället,91,Drama,Ingmar Bergman,Ingmar Bergman,Victor Sjöström;Bibi Andersson;Ingrid Thulin, 8.3 ,"57,899"
"Lock, Stock and Two Smoking Barrels",107,Comedy;Crime,Guy Ritchie,Guy Ritchie,Jason Flemyng;Dexter Fletcher;Nick Moran, 8.2 ,"385,465"
The General,67,Action;Adventure,Clyde Bruckman;Buster Keaton,Buster Keaton;Clyde Bruckman,Buster Keaton;Marion Mack;Glen Cavender, 8.3 ,"48,232"
The Elephant Man,124,Biography;Drama,David Lynch,Christopher De Vore;Eric Bergren,Anthony Hopkins;John Hurt;Anne Bancroft, 8.2 ,"150,190"
Mad Max: Fury Road,120,Action;Adventure,George Miller,George Miller;Brendan McCarthy,Tom Hardy;Charlize Theron;Nicholas Hoult, 8.2 ,"367,060"
Casino,178,Biography;Crime,Martin Scorsese,Nicholas Pileggi;Nicholas Pileggi,Robert De Niro;Sharon Stone;Joe Pesci, 8.2 ,"305,292"
Hauru no ugoku shiro,119,Animation;Adventure,Hayao Miyazaki,Hayao Miyazaki;Diana Wynne Jones,Chieko Baishô;Takuya Kimura;Tatsuya Gashûin, 8.2 ,"191,244"
Warrior,140,Drama;Sport,Gavin O'Connor,Gavin O'Connor;Anthony Tambakis,Tom Hardy;Nick Nolte;Joel Edgerton, 8.2 ,"301,075"
The Wolf of Wall Street,180,Biography;Comedy,Martin Scorsese,Terence Winter;Jordan Belfort,Leonardo DiCaprio;Jonah Hill;Margot Robbie, 8.2 ,"666,464"
Gran Torino,116,Drama,Clint Eastwood,Nick Schenk;Dave Johannson,Clint Eastwood;Bee Vang;Christopher Carley, 8.2 ,"519,220"
V for Vendetta,132,Action;Drama,James McTeigue,Andy Wachowski;Lana Wachowski,Hugo Weaving;Natalie Portman;Rupert Graves, 8.2 ,"725,817"
The Martian,144,Adventure;Comedy,Ridley Scott,Drew Goddard;Andy Weir,Matt Damon;Jessica Chastain;Kristen Wiig, 8.2 ,"150,848"
The Big Lebowski,117,Comedy;Crime,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen,Jeff Bridges;John Goodman;Julianne Moore, 8.2 ,"491,492"
Oordeel te Neurenberg,186,Drama;History,Stanley Kramer,Abby Mann;Abby Mann,Spencer Tracy;Burt Lancaster;Richard Widmark, 8.3 ,"39,541"
Rebecca,130,Film-Noir;Mystery,Alfred Hitchcock,Daphne Du Maurier;Robert E. Sherwood,Laurence Olivier;Joan Fontaine;George Sanders, 8.2 ,"80,769"
A Beautiful Mind,135,Biography;Drama,Ron Howard,Akiva Goldsman;Sylvia Nasar,Russell Crowe;Ed Harris;Jennifer Connelly, 8.2 ,"549,514"
The Deer Hunter,183,Drama;War,Michael Cimino,Michael Cimino;Deric Washburn,Robert De Niro;Christopher Walken;John Cazale, 8.2 ,"215,669"
How to Train Your Dragon,98,Animation;Adventure,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois,Jay Baruchel;Gerard Butler;Christopher Mintz-Plasse, 8.2 ,"435,349"
Cool Hand Luke,126,Crime;Drama,Stuart Rosenberg,Donn Pearce;Frank Pierson,Paul Newman;George Kennedy;Strother Martin, 8.2 ,"111,426"
Gone with the Wind,238,Drama;Romance,Victor Fleming;George Cukor,Margaret Mitchell;Sidney Howard,Clark Gable;Vivien Leigh;Thomas Mitchell, 8.2 ,"198,697"
Fargo,98,Crime;Drama,Joel Coen;Ethan Coen,Ethan Coen;Joel Coen,William H. Macy;Frances McDormand;Steve Buscemi, 8.2 ,"412,676"
Trainspotting,94,Drama,Danny Boyle,Irvine Welsh;John Hodge,Ewan McGregor;Ewen Bremner;Jonny Lee Miller, 8.2 ,"433,411"
Dial M for Murder,105,Crime;Thriller,Alfred Hitchcock,Frederick Knott;Frederick Knott,Ray Milland;Grace Kelly;Robert Cummings, 8.2 ,"96,087"
Het gebeurde op 'n avond,105,Comedy;Romance,Frank Capra,Robert Riskin;Samuel Hopkins Adams,Clark Gable;Claudette Colbert;Walter Connolly, 8.2 ,"58,903"
Into the Wild,148,Adventure;Biography,Sean Penn,Sean Penn;Jon Krakauer,Emile Hirsch;Vince Vaughn;Catherine Keener, 8.2 ,"388,067"
The Sixth Sense,107,Drama;Mystery,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis;Haley Joel Osment;Toni Collette, 8.2 ,"652,078"
Gone Girl,149,Drama;Mystery,David Fincher,Gillian Flynn;Gillian Flynn,Ben Affleck;Rosamund Pike;Neil Patrick Harris, 8.2 ,"484,336"
Incendies,139,Drama;Mystery,Denis Villeneuve,Denis Villeneuve;Wajdi Mouawad,Lubna Azabal;Mélissa Désormeaux-Poulin;Maxim Gaudette, 8.2 ,"69,385"
Finding Nemo,100,Animation;Adventure,Andrew Stanton;Lee Unkrich,Andrew Stanton;Andrew Stanton,Albert Brooks;Ellen DeGeneres;Alexander Gould, 8.2 ,"617,757"
Rush,123,Action;Biography,Ron Howard,Peter Morgan,Daniel Brühl;Chris Hemsworth;Olivia Wilde, 8.2 ,"274,534"
Mary and Max,92,Animation;Comedy,Adam Elliot,Adam Elliot,Toni Collette;Philip Seymour Hoffman;Eric Bana, 8.2 ,"107,381"
The Thing,109,Horror;Sci-Fi,John Carpenter,Bill Lancaster;John W. Campbell Jr.,Kurt Russell;Wilford Brimley;Keith David, 8.2 ,"236,008"
No Country for Old Men,122,Crime;Drama,Ethan Coen;Joel Coen,Joel Coen;Ethan Coen,Tommy Lee Jones;Javier Bardem;Josh Brolin, 8.1 ,"559,581"
